ID,Date,Weekday,Store,City,Drink,Dairy,Sweetness,Topping,Price,Rating,Month,Day,drink_color,topping_color
43,5/6/2020,Wednesday,Orobae,"Irvine, CA",Roasted Oolong Milk Tea,Milk,25%,Tapioca,$6.00,4,5,6,Oolong Milk Tea,Tapioca
44,5/9/2020,Saturday,Boiling Point,"Irvine, CA",Honey Green Milk Tea,Milk,50%,,$5.33,3,5,9,Jasmine Milk Tea,
45,5/13/2020,Wednesday,Orobae,"Irvine, CA",Mango Alisan Oolong,n/a,100%,,$4.65,2,5,13,Fruit Tea,
46,5/15/2020,Friday,HNTea,"Tustin, CA",Strawberry Jasmine Tea,n/a,25%,,$5.25,3,5,15,Strawberry Tea,
47,5/16/2020,Saturday,Boiling Point,"Irvine, CA",Honey Green Milk Tea,Milk,50%,,$5.33,3,5,16,Jasmine Milk Tea,
48,5/19/2020,Tuesday,Orobae,"Irvine, CA",Honey Assam Milk Tea,Milk,25%,Light Tapioca,$6.00,4,5,19,Milk Tea,Tapioca
49,5/23/2020,Saturday,Boiling Point,"Irvine, CA",Honey Green Milk Tea,Milk,50%,,$5.33,3,5,23,Jasmine Milk Tea,
50,5/24/2020,Sunday,Yifang Taiwan Fruit Tea,"Rowland Heights, CA",Yifang Fruit Tea,n/a,50%,,$6.45,4,5,24,Fruit Tea,
51,5/30/2020,Saturday,Boiling Point,"Irvine, CA",Honey Green Milk Tea,Milk,50%,,$5.33,3,5,30,Jasmine Milk Tea,
52,6/7/2020,Sunday,Boiling Point,"Irvine, CA",Honey Green Milk Tea,Milk,50%,,$5.33,4,6,7,Jasmine Milk Tea,
53,6/10/2020,Wednesday,T to Tea,"Irvine, CA",Grapefruit Tea,n/a,25%,,$5.00,3,6,10,Strawberry Tea,
54,6/12/2020,Friday,Orobae,"Irvine, CA",Rising Phoenix,Milk,25%,,$5.00,4,6,12,Jasmine Milk Tea,
55,6/13/2020,Saturday,Asha Tea House,"Berkeley, CA",Lemon Jasmine Green Tea,n/a,50%,Extra Lemon Gimlet,$6.00,5,6,13,Jasmine Tea,Lemon
56,6/14/2020,Sunday,Bubble N Tea,"Beaverton, OR",Jasmine Milk Tea,Soy,25%,,$5.00,4,6,14,Jasmine Milk Tea,
